gene.names	cluster
ENSMUSG00000000088	Cox5a	1
ENSMUSG00000000171	Sdhd	1
ENSMUSG00000000295	Hddc2	1
ENSMUSG00000000326	Comt	1
ENSMUSG00000000339	Rtca	1
ENSMUSG00000000346	Dazap2	1
ENSMUSG00000000378	Ccm2	1
ENSMUSG00000000399	Ndufa9	1
ENSMUSG00000000489	Pdgfb	1
ENSMUSG00000000530	Acvrl1	1
ENSMUSG00000000563	Atp5pb	1
ENSMUSG00000000594	Gm2a	1
ENSMUSG00000000711	Rab5b	1
ENSMUSG00000000740	Rpl13	1
ENSMUSG00000000902	Smarcb1	1
ENSMUSG00000001016	Ilf2	1
ENSMUSG00000001025	S100a6	1
ENSMUSG00000001053	N4bp3	1
ENSMUSG00000001056	Nhp2	1
ENSMUSG00000001098	Kctd10	1
ENSMUSG00000001100	Poldip2	1
ENSMUSG00000001105	Ift20	1
ENSMUSG00000001127	Araf	1
ENSMUSG00000001158	Snrnp27	1
ENSMUSG00000001240	Ramp2	1
ENSMUSG00000001248	Gramd1a	1
ENSMUSG00000001270	Ckb	1
ENSMUSG00000001285	Myg1	1
ENSMUSG00000001289	Pfdn5	1
ENSMUSG00000001334	Fndc5	1
ENSMUSG00000001416	Cct3	1
ENSMUSG00000001525	Tubb5	1
ENSMUSG00000001707	Eef1e1	1
ENSMUSG00000001729	Akt1	1
ENSMUSG00000001794	Capns1	1
ENSMUSG00000001844	Zdhhc4	1
ENSMUSG00000001909	Trmt1	1
ENSMUSG00000002010	Idh3g	1
ENSMUSG00000002012	Pnck	1
ENSMUSG00000002014	Ssr4	1
ENSMUSG00000002015	Bcap31	1
ENSMUSG00000002043	Trappc6a	1
ENSMUSG00000002059	Rab34	1
ENSMUSG00000002102	Psmc3	1
ENSMUSG00000002233	Rhoc	1
ENSMUSG00000002329	Mdp1	1
ENSMUSG00000002372	Ranbp3	1
ENSMUSG00000002379	Ndufa11	1
ENSMUSG00000002395	Use1	1
ENSMUSG00000002416	Ndufb2	1
ENSMUSG00000002477	Snrpd1	1
ENSMUSG00000002504	Nherf2	1
ENSMUSG00000002524	Puf60	1
ENSMUSG00000002580	Mien1	1
ENSMUSG00000002625	Akap8l	1
ENSMUSG00000002658	Gtf2f1	1
ENSMUSG00000002660	Clpp	1
ENSMUSG00000002661	Alkbh7	1
ENSMUSG00000002679	Med6	1
ENSMUSG00000002728	Naa20	1
ENSMUSG00000002767	Mrpl2	1
ENSMUSG00000002768	Mea1	1
ENSMUSG00000002778	Kdelr1	1
ENSMUSG00000002803	Btbd6	1
ENSMUSG00000002833	Hdgfl2	1
ENSMUSG00000002844	Adprh	1
ENSMUSG00000002846	Timmdc1	1
ENSMUSG00000002870	Mcm2	1
ENSMUSG00000002910	Arrdc2	1
ENSMUSG00000002963	Pnkp	1
ENSMUSG00000002983	Relb	1
ENSMUSG00000002985	Apoe	1
ENSMUSG00000003038	Hmgn2	1
ENSMUSG00000003072	Atp5f1d	1
ENSMUSG00000003099	Ppp5c	1
ENSMUSG00000003184	Irf3	1
ENSMUSG00000003235	Eif2b5	1
ENSMUSG00000003269	Cyth2	1
ENSMUSG00000003299	Mrpl4	1
ENSMUSG00000003345	Csnk1g2	1
ENSMUSG00000003346	Abhd17a	1
ENSMUSG00000003380	Rabac1	1
ENSMUSG00000003411	Rab3b	1
ENSMUSG00000003421	Nosip	1
ENSMUSG00000003429	Rps11	1
ENSMUSG00000003437	Paf1	1
ENSMUSG00000003438	Timm50	1
ENSMUSG00000003444	Med29	1
ENSMUSG00000003528	Slc25a1	1
ENSMUSG00000003531	Dgcr6	1
ENSMUSG00000003559	As3mt	1
ENSMUSG00000003581	Rnf215	1
ENSMUSG00000003585	Sec14l2	1
ENSMUSG00000003809	Gcdh	1
ENSMUSG00000003814	Calr	1
ENSMUSG00000003868	Ruvbl2	1
ENSMUSG00000003872	Lin7b	1
ENSMUSG00000003873	Bax	1
ENSMUSG00000003955	Fam162a	1
ENSMUSG00000003970	Rpl8	1
ENSMUSG00000004032	Gstm5	1
ENSMUSG00000004070	Hmox2	1
ENSMUSG00000004071	Cdip1	1
ENSMUSG00000004096	Cwc15	1
ENSMUSG00000004187	Kifc2	1
ENSMUSG00000004264	Phb2	1
ENSMUSG00000004285	Atp6v1f	1
ENSMUSG00000004366	Sst	1
ENSMUSG00000004394	Tmed4	1
ENSMUSG00000004451	Ralb	1
ENSMUSG00000004460	Dnajb11	1
ENSMUSG00000004610	Etfb	1
ENSMUSG00000004626	Stxbp2	1
ENSMUSG00000004667	Polr2e	1
ENSMUSG00000004789	Dlst	1
ENSMUSG00000004846	Plod3	1
ENSMUSG00000004849	Ap1s1	1
ENSMUSG00000004895	Prcc	1
ENSMUSG00000004896	Mettl25b	1
ENSMUSG00000004897	Hdgf	1
ENSMUSG00000004929	Thop1	1
ENSMUSG00000004933	Matk	1
ENSMUSG00000004937	Sgta	1
ENSMUSG00000004994	Yju2b	1
ENSMUSG00000005125	Ndrg1	1
ENSMUSG00000005161	Prdx2	1
ENSMUSG00000005262	Ufd1	1
ENSMUSG00000005299	Letm1	1
ENSMUSG00000005354	Txn2	1
ENSMUSG00000005378	Bud23	1
ENSMUSG00000005413	Hmox1	1
ENSMUSG00000005447	Pafah1b3	1
ENSMUSG00000005481	Ddx39a	1
ENSMUSG00000005510	Ndufs3	1
ENSMUSG00000005575	Ube2m	1
ENSMUSG00000005625	Psmd4	1
ENSMUSG00000005656	Snx6	1
ENSMUSG00000005682	Pan2	1
ENSMUSG00000005696	Sh2d1a	1
ENSMUSG00000005732	Ranbp1	1
ENSMUSG00000005779	Psmb4	1
ENSMUSG00000005823	Gpr108	1
ENSMUSG00000005846	Rsl1d1	1
ENSMUSG00000005881	Ergic3	1
ENSMUSG00000005892	Trh	1
ENSMUSG00000005982	Naa60	1
ENSMUSG00000006024	Napa	1
ENSMUSG00000006050	Sra1	1
ENSMUSG00000006057	Atp5mc1	1
ENSMUSG00000006095	Tbcb	1
ENSMUSG00000006299	Aamp	1
ENSMUSG00000006304	Arpc2	1
ENSMUSG00000006315	Tmem147	1
ENSMUSG00000006333	Rps9	1
ENSMUSG00000006335	Tfpt	1
ENSMUSG00000006356	Crip2	1
ENSMUSG00000006373	Pgrmc1	1
ENSMUSG00000006395	Hyi	1
ENSMUSG00000006412	Pfdn2	1
ENSMUSG00000006418	Rnf114	1
ENSMUSG00000006442	Srm	1
ENSMUSG00000006445	Epha2	1
